NomSite,Sigle,Superficie,Vegetation,NbreDate,Date d'echantillonnage,Prof1,Prof2,Latitude,Longitude,Diagramme complet,Charbons et PAF
Nastapoca (Rivière),NAST3,,T,3,,76,85,565230,762230,c,
Nedlouc,NED,19.6,Ta/TF,7,,305,315,573901.03,713905.67,c,c
Neigette,NEICD,,SBj,0,,0,0,482728,681948,p,
Newington,New,,,0,,,,450700,745800,,
Newington,Newington,,,0,,,,451700,750000,,
Nichicun Lake (1A),NCCL1a,,,0,,,,531200,705200,,
Nichicun Lake (1B),NCCL1b,,,0,,,,531200,705200,,
Nichicun Lake (2A et 2B),NCCL2a2b,,,0,,,,531300,710000,,
Nichicun Lake (5A),NCCL5a,,,0,,,,531100,705000,,
"Nichicun Lake, Grande Ile (3A et 3B)",NCCL3a,,,0,,,,530200,710300,,
"Nichicun Lake, Grande Ile (4A et 4B)",NCCL4a,,,0,,,,530900,710100,,
Nina Lake,NINA,10,EBj-SBj,3,,524,534,463600,813000,c,
Niskuk,NISKUK,20,PC,1,,164,189,511847,723910,c,
Nominingue,Nomin,,,0,,,,462400,750200,,
Northwest River Pond,NWRIVER,,PN,1,,340,357,533100,601000,c,c
Noyer (sud du lac du),MAU5,1.7,EBj,5,13-09-1974,448,455,464716,725016,c,
Nuvilik,NUVILIK,8,T,1,05-08-1990,,,744125,613350,i,
Okak Lake,OKAK,,TF,3,,215,225,620700,572300,c,
Ormstown (Tourbière),ORM1,100,EC,2,,295,300,450547.32,735346.59,c,c
Otish,OTISH,1.6,PC subalpine,4,,225,245,522615,705542,c,
Otish Ranges,otishR,,,0,,,,523300,702800,,
Ouellet (lac),OUEL,6,EBj,3,,390,402,473200.41,685640.32,c,c
Palsa Lake,PALSAL,,TA/TF,1,,,,582800,651000,,
Paradise Lake,PARADIS,350,PC,3,,248,268,530300,574500,c,
Parc de Frontenac,FRON1,100,EBj-ET,7,25-10-1991,358,363,455759.68,710822.46,c,chb paf
Parc de Frontenac,FRON2,100,EBj-ET,7,25-10-1991,505,510,455754.84,710841.96,c,chb paf
Parc de Frontenac,FRON3,100,EBj-ET,0,03-07-1993,,,455803.91,710845.96,c,chb paf
Parc de Frontenac,FRONA,100,EBj-ET,1,25-10-1991,,,455800,710845,c,
Parc de Frontenac,FRONB,100,EBj-ET,1,25-10-1991,160,165,455800,710845,c,
Parc de Frontenac,FRONBB,100,EBj-ET,1,25-10-1991,70,75,455800,710845,c,
Patterson Lake Bog,Patt,,,0,,,,463000,730000,,
Paul (St.) Lake,STPAUL,54,PN/SEpN,2,,170,180,520500,575000,i,
Penouille (Lac de),PENOU1S,7.07,SBj,0,22-06-1996,,,485320,642430,i,
Penouille (Lac de),PENOU2,0.79,SBj,0,22-06-1996,,,485340,642500,i,p
Penouille (Lac de),PENOU2S,0.79,SBj,0,22-06-1996,,,485340,642500,i,chb p
Perch Lake,PERCH,45,ET,7,,594,600,460200,772230,c,
Perdu (lac) (Ruis. Castor),PERDU,0.5,SBj (EBj),11,10-04-1980,690,700,491006.9,661928.37,c,c
Perdu (lac) (Ruis. Castor),PERDU2,0.5,SBj (EBj),1,04-04-1992,690,700,491015,661925,,c
P_rigord,PERIGOR,,,0,,,,434445,-10643,,
PertH,PERTH,,,0,,,,445500,763000,,
