Var_,VarCode,VarName
1715,Aph,Aphelandra
3033,Apiae.I,Apiaceae (type I)
3034,Apiae.II,Apiaceae (type II)
1439,cf.Siu.s,Apiaceae cf. Sium suave
1172,Apiae.ud,Apiaceae undiff.
1764,Api,Apium
228,Apoae,Apocynaceae
2148,Apoae.ud,Apocynaceae undiff.
1825,Apoae-t,Apocynaceae-type
2144,Apoae-t4,Apocynaceae-type (tetraporate)
1886,Apoae-tu,Apocynaceae-type undiff.
19,Apo,Apocynum
2390,Apd,Apodytes
2389,Apd.d,Apodytes dimidiata
1879,Apu-t,Apuleia-type
2872,aquatics,Aquatics
20,aquat.ud,Aquatics undiff.
21,Aquae,Aquifoliaceae
1270,Aql,Aquilegia
859,Arcae,Araceae
3289,Arcae.ud,Araceae undiff.
1939,Arg,Aragoa
2607,Ara,Aralia
565,Ara.h,Aralia hispida
22,Araae,Araliaceae
3291,Araae.ud,Araliaceae undiff.
1678,Aru,Araucaria
1765,Aru.a,Araucaria angustifolia
1679,Aruae,Araucariaceae
1189,Arl,Arcella
566,Arl.a,Arcella artocrea
2190,Arl.d,Arcella discoides
2192,Arl.r,Arcella rotundata
23,Arc,Arceuthobium
1014,Arc.a,Arceuthobium americanum
567,Arc.p,Arceuthobium pusillum
248,Ar/Lo,Arceuthobium/Loranthaceae
1162,Arp,Arctostaphylos
3612,Arp.a/r,Arctostaphylos alpina/A. rubra
568,Arp.u,Arctostaphylos uva-ursi
2182,ase.cm2,Area slide examined (cm_)
199,Areae,Arecaceae
3223,Are.x.Ma,Arecaceae (excluding Mauritia)
1882,Areae.C1,Arecaceae (monocolpate)
1883,Areae.C3,Arecaceae (tricolpate)
3015,Areae.I,Arecaceae (type I)
3016,Areae.II,Arecaceae (type II)
910,Areae.ud,Arecaceae undiff.
1134,Areae-t,Arecaceae-type
1230,Areae-tu,Arecaceae-type undiff.
994,Arn,Arenaria
1600,Ari,Aristotelia
24,Arm,Armeria
2939,Arm.A,Armeria (type A)
2940,Arm.B,Armeria (type B)
569,Arm.m,Armeria maritima
1884,Arr,Arrabidaea
3562,Art.ha-t,Artemisia herba-alba-type
3620,Art.ud,Artemisia undiff.
3563,Art.v-t,Artemisia vulgaris-type
1960,Ar/Go,Artemisia/Gochnatia
1602,Art-t,Artemisia-type
3296,Ary,Arytera
3347,Asr,Ascarina
2465,Asc,Ascolepis
2693,Asa,Asperula
3564,Asd,Asphodelus
3224,Apl,Aspilia
1574,Apr.p,Aspiromitus punctatus
1918,Aspae,Aspleniaceae
1348,Asp,Asplenium
962,Asp.r,Asplenium rhizophyllum
1890,Asp-t,Asplenium-type
570,Ass,Assulina
571,Ass.m,Assulina muscorum
572,Ass.s,Assulina seminulum
1224,Ass.ud,Assulina undiff.
1636,Asl,Astelia
1049,Asl.p,Astelia pumila
2652,Ast,Aster
409,Astae,Asteraceae
876,Astae.hs,Asteraceae (high spine)
2610,Astae.lo,Asteraceae (lophate)
877,Astae.ls,Asteraceae (low spine)
2877,Astae.ns,Asteraceae (spineless)
3202,Ast.As.c,Asteraceae subf. Asteroideae (coarse-spine)
3177,Ast.As.h,Asteraceae subf. Asteroideae (high-spine)
3178,Ast.As.l,Asteraceae subf. Asteroideae (low-spine)
2808,Astae.A1,Asteraceae subf. Asteroideae 1
2809,Astae.A2,Asteraceae subf. Asteroideae 2
2810,Astae.A3,Asteraceae subf. Asteroideae 3
2811,Astae.A4,Asteraceae subf. Asteroideae 4
2812,Astae.A5,Asteraceae subf. Asteroideae 5
2868,cf.Ewa,Asteraceae subf. Asteroideae cf. Ewartia
1961,Ast.A.I,Asteraceae subf. Asteroideae type I
1962,Ast.A.II,Asteraceae subf. Asteroideae type II
307,Astae.Au,Asteraceae subf. Asteroideae undiff.
160,Astae.Ci,Asteraceae subf. Cichorioideae
3035,Astae.Cu,Asteraceae subf. Cichorioideae undiff.
3668,Astae.Am,Asteraceae subtribe Ambrosiinae
413,Astae.Cy,Asteraceae tribe Cynareae
1477,As.He.ud,Asteraceae tribe Heliantheae undiff.
3669,Astae.He,Asteraceae tribe Helianthinae
2463,Astae.La,Asteraceae tribe Lactuceae
1020,Astae.Mu,Asteraceae tribe Mutisieae
1759,Astae.Md,Asteraceae tribe Mutisieae undiff.
2491,Astae.Ve,Asteraceae tribe Vernonieae
61,Astae.ud,Asteraceae undiff.
1478,As.ud.cl,Asteraceae undiff. clumps
3439,Ast-t,Aster-type
1002,Asg,Astragalus
2914,Asg.a,Astragalus alpinus
2915,Asg.a-t,Astragalus alpinus-type
2956,As/Lu,Astragalus/Lupinus
3494,Asg/Vic,Astragalus/Vicia
1163,Asg-t,Astragalus-type
1963,Asm,Astronium
2104,Ata,Atamisquea
2813,Ats,Atherosperma
26,Ath,Athyrium
2653,Ath.a,Athyrium alpestre
2654,Ath.a-t,Athyrium alpestre-type
1368,,Athyrium crenatum
2655,,Athyrium distentifolium
2656,,Athyrium distentifolium-type
573,Ath.f,Athyrium filix-femina
1384,,Athyrium thelypterioides
950,Ath.ud,Athyrium undiff.
2621,Ath-t,Athyrium-type
1670,,Austrocedrus
1669,Aus.c,Austrocedrus chilensis
1653,Aus.c-t,Austrocedrus chilensis-type
1654,,Austrocedrus-type
415,Av/Tr,Avena/Triticum
1221,Av/Tr.ud,Avena/Triticum undiff.
414,Ave-t,Avena-type
1131,Avi,Avicennia
1964,Aye,Ayenia
1603,Aza,Azara
27,Azo,Azolla
3036,Azo.meg,Azolla (megaspore)
2694,Azo.gloc,Azolla glochidia
2521,Azo.n,Azolla nilotica
1022,Azr,Azorella
3297,Bcc,Baccaurea
3037,Bac,Baccharis
3508,Bac.g,Baccharis glomeruliflora
1766,Bac-t,Baccharis-type
1965,Bal,Balfourodendron
3460,Blsae,Balsaminaceae
2814,Blt,Baltishaeridium
1966,Ban,Banara
3038,Ba/Xy,Banara/Xylosma
1767,Ban-t,Banara-type
3225,Bns,Banisteriopsis
2695,Bnk,Banksia
2815,Bnk.m,Banksia marginata
2405,Bap,Baphiopsis
2406,Bap.p,Baphiopsis parviflora
3645,Bab-t,Barbarea-type
1967,Bth,Bathysa
1480,Bat,Batis
1968,Bau,Bauhinia
1969,Beg,Begonia
1970,Begae,Begoniaceae
1971,Bel,Belangera
3348,Blv,Belvisia
867,Brbae,Berberidaceae
1631,Brb,Berberis
973,Brb-t,Berberis-type
938,Brc.s,Berchemia scandens
28,Ber-t,Berlandiera-type
3040,Brn,Bernardia
3039,Brn.cf.p,Bernardia cf. B. pulchella
2391,Brm,Bersama
2393,Brm.a,Bersama abyssinica
2547,Bta.v-t,Beta vulgaris-type
1432,Bet<20,Betula (<20 _m)
1431,Bet>20,Betula (>20 _m)
